22p;2;C9 C10
10n/400V;4;C5 C6 C8 C11
100n;4;C2 C3 C7 C12
100n/400V;1;C13
22u;1;C4
220u;1;C1
PWR;1;D1
ERR;1;D2
TR1;1;D3
TR2;1;D4
TR3;1;D5
TR4;1;D6
RE1;1;D7
RE2;1;D8
RE3;1;D9
RE4;1;D10
SS24;4;D11 D12 D13 D14
FUSE;1;F2
FUSE;1;F1
LTV817;2;IC3 IC4
MOC3063M;4;IC1 IC2 IC5 IC7
MOC3021M;1;IC10
TLP281-4;1;IC8
TLP180;1;IC6
ATMEGA32A-A;1;IC9
RE1;1;K3
RE2;1;K4
RE3;1;K7
RE4;1;K8
S3-5;4;K1 K2 K5 K6
10u;1;L1
230V AC;1;P1
TR1;1;P2
TR2;1;P3
TR3;1;P4
WE1;1;P5
WE2;1;P6
TR4;1;P7
WE3;1;P8
WE4;1;P9
TR5;1;P10
1_wire;1;P11
MODUL;1;P12
BC817;6;Q1 Q2 Q3 Q5 Q6 Q7
IRLML2502;1;Q4
39R/0,5W;4;R3 R10 R28 R38
47R/1W;1;R55
180R/0,5W;1;R43
220R;1;R42
360R/0,5W;4;R7 R24 R30 R40
360R/0,5W;4;R2 R9 R26 R36
470R;4;R37 R39 R41 R45
560R;4;R1 R8 R25 R35
560R;1;R56
1k;1;R54
2,2k;10;R4 R5 R15 R16 R17 R18 R19 R20 R21 R22
2,4k/0,5W;1;R44
4,7k;16;R6 R13 R31 R32 R33 R34 R46 R47 R48 R49 R50 R52 R53 R57 R58 R59
5k;1;R51
10k;1;R29
10k;3;R14 R27 RV2
68k/2W;1;R12
POT;1;RV1
LCD;1;S1
TMB12A05;1;SP1
RST;1;SW1
OK;1;SW2
UP;1;SW3
DN;1;SW4
LT;1;SW5
RT;1;SW6
TRANSFO;1;T1
BRIDGE_SMALL;1;U1
MQ-2;1;U10
MD-PIR;1;U11
LD1117S50TR;1;U3
BT136;4;U2 U4 U6 U7
BT138;1;U8
DHT-11;1;U9
V07N361-F;1;VR1
CRYSTAL;1;X1
